,Document
54,"However, they were struggling to find an actor for the lead ""angry young man"" role; it was turned down by a number of actors, owing to it going against the ""romantic hero"" image dominant in the industry at the time. The Government of France honoured him with its highest civilian honour, Knight of the Legion of Honour, in 2007 for his exceptional career in the world of cinema and beyond. He was also coached under the guidance of Achrekar at Shivaji Park in the mornings and evenings. He also had a role with the ball in the five-match ODI series in India following the Tests, including a five wicket haul in an ODI in Kochi. Nonetheless, Modi retained connections with some Hindu nationalists. These activities included a Hindu religious conversion programme, a campaign against the alleged Islamic practice of ""Love Jihad"", and attempts to celebrate Nathuram Godse, the assassin of Mahatma Gandhi, by members of the right wing Hindu Mahasabha. In 1999, to coincide with the re-release of the 1968 film Yellow Submarine, an expanded soundtrack album, Yellow Submarine Songtrack, was issued. Throughout early and mid-1962, Epstein sought to free the Beatles from their contractual obligations to Bert Kaempfert Productions. 3 in the UK and No. Richards recalls, ""He was more into T-Bone Walker and jazz blues stuff."
55,"This led to Bachchan being dubbed as ""angry young man"", a journalistic catchphrase which became a metaphor for the dormant rage, frustration, restlessness, sense of rebellion and anti-establishment disposition of an entire generation, prevalent in 1970s India.The year 1973 was also when he married Jaya, and around this time they appeared in several films together: not only Zanjeer but also subsequent films such as Abhimaan, which was released only a month after their marriage and was also successful at the box office. Bachchanalia: The Films and Memorabilia of Amitabh Bachchan. However, during the following Australia tour of India, he returned to fitness and form, scoring 13 and 49 in the first Test before making 88 in the first innings of the second Test, breaking the record for most Test runs held by Brian Lara. He acted as a coach for the Ponting XI during The Big Appeal. A poll conducted by The Times of India in May 2017 showed 77% of the respondents rated Modi as ""very good"" and ""good"". Allegations of abuse of power, corruption and poor administration were made, and Patel's standing had been damaged by his administration's handling of the earthquake in Bhuj in 2001. Taped copies of the song soon circulated among other radio stations throughout the US. To many of Dylan's followers in the folk music scene, the Beatles were seen as idolaters, not idealists."" Given an A+ grade by critic Robert Christgau and disparaged by Lester Bangs—who reversed his opinion within months—Exile is now accepted as one of the Stones' best albums. Subsequently, the Stones' new marketer/distributor CBS Records took over distributing their Atlantic catalogue."
56,"Like we know from Prakash Mehra movies, into each life some Bachchan must fall. Punathambekar, Aswin (2010). === Decline phase of career ===
Then, in a hitherto unprecedented sequence, he scored 0, 0, 8 and 0 in the next four innings. He appears to show little preference for the slow and low wickets which are typical in India, and has scored many centuries on the hard, bouncy pitches in South Africa and Australia. He was the first Indian prime minister to do so. With respect to the quality of education in government schools, the state ranked below most Indian states. Struggling to compete with the volume of sound generated by screaming fans, the band had grown increasingly bored with the routine of performing live. Lennon's art school friend Stuart Sutcliffe, who had just sold one of his paintings and was persuaded to purchase a bass guitar with the proceeds, joined in January 1960, and it was he who suggested changing the band's name to Beatals, as a tribute to Buddy Holly and the Crickets. Richards recalls, ""He was more into T-Bone Walker and jazz blues stuff. 4 in the UK and No."
57,"The resignation followed the implication of Bachchan and his brother in the ""Bofors scandal"" by a newspaper, which he vowed to take to court. Roy, S. (2006). Ajit told Achrekar that he was feeling self-conscious due to the coach observing him, and was not displaying his natural game. In the lead-up to the series, Tendulkar simulated scenarios in the nets with Laxman Sivaramakrishnan, the former India leg spinner, donning the role of Warne. In 2013 the state ranked 10th of 21 Indian states in the Human Development Index. The National Health Mission, which included public health programmes targeted at these indices received nearly 20% less funds in 2015 than in the previous year. Visiting the band in their New York hotel suite, Dylan introduced them to cannabis. A collage designed by pop artists Peter Blake and Jann Haworth, it depicted the group as the fictional band referred to in the album's title track standing in front of a crowd of famous people. It included shows in small theatres. The accompanying Voodoo Lounge Tour lasted into the following year and grossed $320 million, becoming the world's highest-grossing tour at the time."
58,"In 2016, he appeared in the women-centric courtroom drama film Pink which was highly praised by critics and with an increasingly good word of mouth, was a resounding success at the domestic and overseas box office. His mother had a keen interest in theatre and was offered a feature film role, but she preferred her domestic duties. He scored 68 in the first match and 48 against Guyana. The charges against Tendulkar and Sehwag's ban for excessive appealing triggered a massive backlash from the Indian public. === Foreign policy ===

Foreign policy played a relatively small role in Modi's election campaign, and did not feature prominently in the BJP's election manifesto. The investigations, on the grounds that these organisations were slowing economic growth, was criticised as a witchhunt. and ""Ticket to Ride"". Their initial impact would have been enough to establish the Beatles as one of their era's most influential cultural forces, but they didn't stop there. In November 2012, the Stones began their 50 & Counting... tour at London's O2 Arena, where they were joined by Jeff Beck. Following the success of Some Girls, the band released their next album Emotional Rescue in mid-1980."
59,"== Awards and honours ==

 
Apart from National Film Awards, Filmfare Awards and other competitive awards which Bachchan won for his performances throughout the years, he has been awarded several honours for his achievements in the Indian film industry. Recently they made their first overseas investment in Ziddu.com, a cloud based content distribution platform. But Mumbai Indians failed to qualify for semifinals after losing the initial two matches. Tendulkar was given a suspended ban of one game by Denness in light of alleged ball tampering. On 30 July 2019, Parliament of India declared the practice of Triple Talaq as illegal, unconstitutional and made it punishable act from 1 August 2019 which is deemed to be in effect from 19 September 2018. In 2015, Modi was ranked the 13th Most Influential Person in the World by Bloomberg Markets Magazine. They soon found that the Marcos regime was unaccustomed to taking no for an answer. It topped albums charts in at least 28 countries. On 17 April 2010, the band released a limited edition 7-inch vinyl single of the previously unreleased track ""Plundered My Soul"" as part of Record Store Day. in which conservative editor William Rees-Mogg surprised his readers by his unusually critical discourse on the sentencing, pointing out that Jagger had been treated far more harshly for a minor first offence than ""any purely anonymous young man""."
60,"PMID 11133137. === Business investments ===
Amitabh Bachchan has invested in many upcoming business ventures. 2013 – Indian Postal Service released a stamp of Tendulkar and he became the second Indian after Mother Teresa to have such stamp released in their lifetime. 2011 – Castrol Indian Cricketer of the Year award. He won in both constituencies, defeating Aam Aadmi Party leader Arvind Kejriwal in Varanasi and Madhusudan Mistry of the INC in Vadodara by 570,128 votes. Modi was forced to go underground in Gujarat and frequently travelled in disguise to avoid arrest. The heavy moustaches worn by the group reflected the growing influence of hippie style, while cultural historian Jonathan Harris describes their ""brightly coloured parodies of military uniforms"" as a knowingly ""anti-authoritarian and anti-establishment"" display.Sgt. Pepper: Magical Mystery Tour, a one-hour television film, and Yellow Submarine, an animated feature-length film produced by United Artists. === 1978–1982: Commercial peak ===
The group's fortunes changed in 1978, after the band released Some Girls, which included the hit single ""Miss You"", the country ballad ""Far Away Eyes"", ""Beast of Burden"" and ""Shattered"". The US version of the LP Out of Our Heads, released in July 1965, also went to No 1; it included seven original songs, three Jagger/Richards numbers and four credited to Nanker Phelge."
61,"""The actor as parallel text in Bombay cinema"". Salim-Javed soon discovered Bachchan and ""saw his talent, which most makers didn't. === 2003 Cricket World Cup ===
Tendulkar made 673 runs in 11 matches in the 2003 Cricket World Cup, helping India reach the final. The cricketer is also known to celebrate Ganesh Chaturthi at home and frequently visits temples during night when it is calm and quiet. The government's decision to move the bodies of the train victims from Godhra to Ahmedabad further inflamed the violence. The reforms drew strong opposition from unions: on 2 September 2015, eleven of the country's largest unions went on strike, including one affiliated with the BJP. The record received some airplay in the Tidewater area of Virginia by Gene Loving of radio station WGH and was featured on the ""Rate-a-Record"" segment of American Bandstand, but it failed to catch on nationally. In 2010, the official canon of thirteen Beatles studio albums, Past Masters, and the ""Red"" and ""Blue"" greatest-hits albums were made available on iTunes.In 2012, EMI's recorded music operations were sold to Universal Music Group. Taylor said in 1980,

I was getting a bit fed up. Those sessions resulted in the song ""Jumpin' Jack Flash"", released as a single in May."
62,"Writing for NDTV, Troy Ribeiro of Indo-Asian News Service (IANS) stated, 'Amitabh Bachchan as Deepak Sehgall, the aged defence lawyer, shines as always, in a restrained, but powerful performance. Indiatimes Movies ranks Deewaar amongst the Top 25 Must See Bollywood Films. Tendulkar fell amid a batting collapse and the match referee, Clive Lloyd, awarded Sri Lanka the match after the crowd began rioting and throwing litter onto the field.After the World Cup, in the same year against Pakistan at Sharjah, Indian captain Mohammed Azharuddin was going through a lean patch. While he displayed a full repertoire of strokes in compiling his maiden Test hundred, most remarkable were his off-side shots from the back foot. The longest was of M. S. Golwalkar, under whose leadership the RSS expanded and whom Modi refers to as Pujniya Shri Guruji (""Guru worthy of worship""). Sanitation cover in the country increased from 38.7% in October 2014 to 84.1% in May 2018; however, usage of the new sanitary facilities lagged behind the government's targets. Despite its popularity, reviewers were largely confused by the album's content, and it failed to inspire the level of critical writing that Sgt. The three guitarists, billing themselves as Johnny and the Moondogs, were playing rock and roll whenever they could find a drummer. During this trip the stormy relations between Jones and Pallenberg deteriorated to the point that she left Morocco with Richards. In January and February that year the band played 34 shows for around 100,000 people in Australia and New Zealand."
63,"""Brown: the new black! It won him his third National Film Award for Best Actor and fifth Filmfare Best Actor Award. He says that Sachin's quest for his 100th hundred has proved to be a hurdle for the entire team and has hampered their performance on the Tour of Australia. The incident escalated to include sports journalists accusing Denness of racism, and led to Denness being barred from entering the venue of the third Test match. In response to a petition from Zakia Jafri (widow of Ehsan Jafri, who was killed in the Gulbarg Society massacre), in April 2009 the court also asked the SIT to investigate the issue of Modi's complicity in the killings. This represented a shift away from the policy of the previous Congress government, which had supported programmes to assist public health goals, including reducing child and maternal mortality rates. McCartney refused to sign the management contract with Klein, but he was out-voted by the other Beatles.Martin stated that he was surprised when McCartney asked him to produce another album, as the Get Back sessions had been ""a miserable experience"" and he had ""thought it was the end of the road for all of us"". They were inducted into the Rock and Roll Hall of Fame in 1988.The best-selling band in history, the Beatles have sold more than 800 million physical and digital albums as of 2013. It also debuted at No. The writing of ""The Last Time"", the Rolling Stones' first major single, proved a turning point."
64,"The fiasco and the consequent legal battles surrounding ABCL and various entities after the event, coupled with the fact that ABCL was reported to have overpaid most of its top-level managers, eventually led to its financial and operational collapse in 1997. Journal of Homosexuality. In the final against Saurashtra, he was run out for 22 following a misunderstanding with Wasim Jaffer. On 19 March 2006, after being dismissed for only one run against England in the first innings of the third Test in his home ground, Wankhede, Tendulkar was booed off the ground by a section of the crowd, the first time that he had ever faced such flak. Modi has attempted to improve efficiency in the bureaucracy; he has centralised power by abolishing the Planning Commission. In 2013, Gujarat was ranked first among Indian states for ""economic freedom"" by a report measuring governance, growth, citizens' rights and labour and business regulation among the country's 20 largest states. Lennon recalled: ""We collapsed. Within six months of the meeting, according to Gould, ""Lennon would be making records on which he openly imitated Dylan's nasal drone, brittle strum, and introspective vocal persona""; and six months after that, Dylan began performing with a backing band and electric instrumentation, and ""dressed in the height of Mod fashion"". Those sessions resulted in the song ""Jumpin' Jack Flash"", released as a single in May. This tour used coloured panels and was one of the last Stones tours to do so before switching to devices such as video screens."
65,"Bhashkor's life and conversation may revolve around his constipation and fussy hypochondria, but there's no mistaking the scene-stealing energy that Mr. Bachchan, India's erstwhile Angry Young Man, musters for his new role of Cranky Old Man."" ISSN 1474-6689. 2011 – Castrol Indian Cricketer of the Year award. Various national and international figures from cricket, politics, Bollywood and other fields spoke about him in a day-long Salaam Sachin Conclave organised by India Today. On 5 August 2019, the government moved resolution to scrap Article 370 in the Rajya Sabha, and also reorganize the state with Jammu and Kashmir serving as one of the union territory and Ladakh region separated out as a separate union territory. Commentators have suggested, however, that the violence was perpetrated by radical Hindu nationalists to undercut the authority of Modi. A week later, Sgt. In 2004, Rolling Stone ranked the Beatles as the most significant and influential rock music artists of the last 50 years. Olé Olé Olé: A Trip Across Latin America came out on DVD and Blu-ray 26 May 2017.The band released Blue & Lonesome on 2 December 2016. The tour gave the band the opportunity to hone their stagecraft."
66,"1978 is arguably considered his most successful year at the box office since all of his six releases the same year, namely Muqaddar Ka Sikandar, Trishul, Don, Kasme Vaade, Ganga Ki Saugandh and Besharam were massive successes, the former three being the consecutive highest-grossing films of the year, remarkably releasing within a couple of months of each other, a rare feat in Indian cinema.In 1979, Bachchan starred in Suhaag which was the highest earning film of that year. In addition to acting, Bachchan has worked as a playback singer, film producer and television presenter. Many former cricketers commented that Dravid's declaration was in bad taste. On the second day of the Nottingham Test on 28 July 2007, Tendulkar became the third cricketer to complete 11,000 Test runs. On 9 November 2016, the government demonetised ₹500 and ₹1000 banknotes, with the stated intention of curbing corruption, black money, the use of counterfeit currency, and terrorism. The government also announced plans to build new sewage treatment plants. The recipients of seven Grammy Awards and fifteen Ivor Novello Awards, the Beatles have six Diamond albums, as well as 20 Multi-Platinum albums, 16 Platinum albums and six Gold albums in the United States. The record attracted more than 2 million advance orders, selling nearly 4 million copies in the US in little over a month, and its tracks dominated the playlists of American radio stations. It was the highest-grossing tour of that year. 1 in the UK, and No 7 in the US."
67,"Bachchan embraces the character's many idiosyncrasies, never once slipping into caricature while all along delivering big laughs thanks to his spot-on comic timing. His mother, Teji Bachchan, was a social activist and Punjabi Sikh woman from Lyallpur, Punjab, British India (present-day Faisalabad, Punjab, Pakistan). === Home series against South Africa ===
South Africa toured in March and April 2008 for a three-Test series. In the fifth match, with the series tied at 2–2, Australia amassed 350/4 in 50 overs. The BJP did not nominate any Muslim candidates for the assembly election of 2012. The next day, the Vishwa Hindu Parishad called for a bandh across the state. Already contemplating Best's dismissal, the Beatles replaced him in mid-August with Ringo Starr, who left Rory Storm and the Hurricanes to join them. The group's third US tour opened with a performance before a world-record crowd of 55,600 at New York's Shea Stadium on 15 August 1965 – ""perhaps the most famous of all Beatles' concerts"", in Lewisohn's description. During the 1972 tour, the Stones developed a complex light show which included giant mirrors that bounced the light off them.During the 1975 Tour of the Americas, arena shows became an industry for the band, and the Stones hired a new lighting director, Jules Fisher. The tour included the band's first performances in Poland, Greece, and Italy.On 10 May 1967, the day Jagger, Richards and Fraser were arraigned in connection with the Redlands charges, Jones' house was raided by police."
68,"PMID 11133138. He first gained popularity in the early 1970s for films such as Zanjeer, Deewaar and Sholay, and was dubbed India's ""angry young man"" for his on-screen roles in Bollywood. The Indian tail collapsed, and Australia won the match by three runs. While Tendulkar is not a regular bowler, he can bowl medium pace, leg spin, and off spin. === Development debate ===

A contentious debate surrounds the assessment of Gujarat's economic development during Modi's tenure as chief minister. Modi was appointed general secretary of the ""Gujarat Lok Sangharsh Samiti"", an RSS committee co-ordinating opposition to the Emergency in Gujarat. ==== 1990s ====
Live at the BBC, the first official release of unissued Beatles performances in seventeen years, appeared in 1994. According to an account McCartney gave in 1995, he met with Grade and explained he was interested solely in the Northern Songs catalogue if Grade were ever willing to ""separate off"" that portion of ATV Music. The band received the Lifetime Achievement Award at the ceremony. They returned to Hyde Park in July, though it was not free like the 1969 concert."
69,"The film is currently ""shelved"" indefinitely.Vivek Sharma's Bhoothnath, in which he plays the title role as a ghost, was released on 9 May 2008. He has hosted several seasons of the game show Kaun Banega Crorepati, India's version of the game show franchise, Who Wants to Be a Millionaire?. The Indian tail collapsed, and Australia won the match by three runs. He played a part in India's victory in Mumbai in that series with a fast 55, though Australia took the series 2–1.On 10 December 2005 at Feroz Shah Kotla, Tendulkar scored his record-breaking 35th Test century, against the Sri Lankans. The SIT questioned Modi in March 2010; in May, it presented to the court a report finding no evidence against him. There, Modi met Lakshmanrao Inamdar, popularly known as Vakil Saheb, who inducted him as a balswayamsevak (junior cadet) in the RSS and became his political mentor. They had nearly exhausted their backlog of songs on the previous album, however, and given the challenges constant international touring posed to their songwriting efforts, Lennon admitted, ""Material's becoming a hell of a problem"". When he learned they had been performing at the rival Top Ten Club in breach of their contract, he gave the band one month's termination notice, and reported the underage Harrison, who had obtained permission to stay in Hamburg by lying to the German authorities about his age. Available in four different formats, it included two new tracks, ""Doom and Gloom"" and ""One More Shot"", recorded at Studio Guillaume Tell in Paris, France, in the last few weeks of August 2012. Rock and Roll Hall of Fame."
70,"== External links ==
 Media related to Amitabh Bachchan at Wikimedia Commons

Amitabh Bachchan's official blog
Amitabh Bachchan on IMDb
Amitabh Bachchan at Bollywood Hungama
Amitabh Bachchan on Twitter
British Academy of Film and Television Arts brochure doi:10.1080/08949460903368895. These twin knocks were also known as the Desert Storm innings. He scored 137 off 136 balls, with 21 fours and 3 sixes, to take his team to 344 for 4 at stumps on day one.However, because of a poor form in the first two Tests in the series against England, and India being humiliated in the second match of that series by 10 wickets on 26 November 2012, some people have started to question his place in the Indian team. Modi then went to the Ramakrishna Ashram in Almora, where he was again rejected, before travelling back to Gujarat via Delhi and Rajasthan in 1968–69. The Naga insurgency in northeast India had begun in the 1950s. And because they were writing different material, we were playing differently."" The LP contained all original material save for two covers, ""Act Naturally"" and ""Dizzy Miss Lizzy""; they were the last covers the band would include on an album, except for Let It Be's brief rendition of the traditional Liverpool folk song ""Maggie Mae"". Their top single is ""(I Can't Get No) Satisfaction"", regarded by many at the time as ""the classic example of rock and roll"". This led to the period Richards has referred to as ""World War III"".Musical collaboration between members of the band and supporting musicians was key, due to the fluid lineups typically experienced by the band in the studio, as tracks tended to be recorded ""by whatever members of the group happened to be around at the time of the sessions""."
71,"He then played his first antagonist role as an infatuated lover-turned-murderer in Parwana (1971). The film was due to begin filming in February 2008 but due to the writer's strike, was pushed to September 2008. Publisher: HarperCollins India ISBN 978-81-7223-821-6
Master Stroke: 100 Centuries of Sachin Tendulkar by Neelima Athalye. This time, Sachin, apparently unobserved, played much better and was accepted at Achrekar's academy.Achrekar was impressed with Tendulkar's talent and advised him to shift his schooling to Sharadashram Vidyamandir (English) High School, a school at Dadar which had a dominant cricket team and had produced many notable cricketers. Zakia Jaffri filed a protest petition in response. He was also declared winner of the Time magazine reader's poll for Person of the Year in 2014 and 2016. The album caught the attention of music critic William Mann of The Times, who suggested that Lennon and McCartney were ""the outstanding English composers of 1963"". I Love You"" – were published by an EMI subsidiary, Ardmore & Beechwood, before they signed with James. On 4 June, the Rolling Stones performed for the first time in Israel. The album's debut at No."
72,"ISSN 0091-8369. PMID 11133138. India did not progress to the final, which was won by Pakistan, and refused to participate the next time the championship was held due to increasing political tensions between India and Pakistan.In the Test against Pakistan at Chepauk in 1999, the first of a two-Test series, Sachin scored 136 in the fourth innings with India chasing 271 for victory. In a rare show of emotion, Tendulkar hit out at the comments attributed to Chappell by pointing out that no coach had ever suggested his attitude towards cricket was incorrect. During the 2012 campaign, Modi attempted to identify himself with the state of Gujarat, a strategy similar to that used by Indira Gandhi during the Emergency, and projected himself as protecting Gujarat against persecution by the rest of India.While campaigning for the 2012 assembly elections, Modi made extensive use of holograms and other technologies allowing him to reach a large number of people, something he would repeat in the 2014 general election. Several deaths were linked to the rush to exchange cash. And the words were almost irrelevant."" On 8 May, Klein was named sole manager of the band, the Eastmans having previously been dismissed as the Beatles' lawyers. It was the highest-grossing tour of that year. New music released by the band while under this contract was to be issued through Universal's Polydor label."
73,"Garwood, Ian (2006). The film is currently ""shelved"" indefinitely.Vivek Sharma's Bhoothnath, in which he plays the title role as a ghost, was released on 9 May 2008. In an interview with Tim Sheridan, Tendulkar admitted that he sometimes went for quiet drives in the streets of Mumbai late at night when he would be able to enjoy some peace and silence. Tendulkar and Navjot Singh Sidhu both made centuries to set a then record partnership for the second wicket. While Modi was training with the RSS, he also met Vasant Gajendragadkar and Nathalal Jaghda, Bharatiya Jana Sangh leaders who were founding members of the BJP's Gujarat unit in 1980.Also in Narendra Modi's childhood, in a custom traditional to his caste, his family arranged a betrothal to a girl, Jashodaben Chimanlal Modi, leading to their marriage when they were teenagers. In 2007 Modi authored Karmayog, a 101-page booklet discussing manual scavenging. and Rubber Soul (both of which Martin had remixed for the 1987 editions). ""Author Dominic Pedler describes the way they crossed musical styles: ""Far from moving sequentially from one genre to another (as is sometimes conveniently suggested) the group maintained in parallel their mastery of the traditional, catchy chart hit while simultaneously forging rock and dabbling with a wide range of peripheral influences from country to vaudeville. 6 in the UK and No. The most documented of the band's concerts is the Altamont Free Concert at the Altamont Speedway in 1969."
74,"Bachchan lent his voice as a narrator to the 2001 movie Lagaan which was a super hit. Rachel Saltz wrote for The New York Times, ""Piku,"" an offbeat Hindi comedy, would have you contemplate the intestines and mortality of one Bhashkor Banerji and the actor who plays him, Amitabh Bachchan. Tendulkar has been part of most wins by an Indian in both Test cricket with 72 wins and ODIs with 234 wins and is third in the world in ODI victories after Ricky Ponting (262 wins), Mahela Jayawardene (241 wins).Tendulkar has scored over 1000 runs in a calendar year in ODIs 7 times, and in 1998 he scored 1,894 runs, the record for the highest number of runs scored by any player in a single calendar year for One-Day Internationals. Indian captain Rahul Dravid declared before Tendulkar reached 200; had he done so it would have been the fourth time he had passed the landmark in Tests. Independent sources put the death toll at over 2000. Modi authored eight other books, mostly containing short stories for children.The nomination of Modi for the prime ministership drew attention to his reputation as ""one of contemporary India's most controversial and divisive politicians."" Unterberger considers it ""a fitting swan song for the group"", containing ""some of the greatest harmonies to be heard on any rock record"". Directed by Ron Howard, it chronicled the Beatles' career during their touring years from 1962 to 1966, from their performances in Liverpool's the Cavern Club in 1961 to their final concert in San Francisco in 1966. The album was recorded at Chess Studios in Chicago and RCA Studios in Los Angeles. The Guardian commented that their ""combination of front-of-house excellence and behind the scenes savvy took the business of touring to an entirely new level."""
75,"Later, Bachchan played the role of Vikram, once again along with Rajesh Khanna, in the film Namak Haraam, a social drama directed by Hrishikesh Mukherjee and scripted by Biresh Chatterjee addressing themes of friendship. Another statue was installed in New York in 2009, Hong Kong in 2011, Bangkok in 2011, Washington, DC in 2012, and Delhi, in 2017.In 2003, he was conferred with the Honorary Citizenship of the French town of Deauville. He also practices left-handed throws at the nets on a regular basis. However, during the following Australia tour of India, he returned to fitness and form, scoring 13 and 49 in the first Test before making 88 in the first innings of the second Test, breaking the record for most Test runs held by Brian Lara. Approximately 150,000 people were driven to refugee camps. In 1987 Modi helped organise the BJP's campaign in the Ahmedabad municipal election, which the BJP won comfortably; Modi's planning has been described as the reason for that result by biographers. Issued in August, the band's fourth single, ""She Loves You"", achieved the fastest sales of any record in the UK up to that time, selling three-quarters of a million copies in under four weeks. Martin said that the project was ""not at all a happy recording experience. He was arrested and charged with possession of cannabis. 5 in the US."
76,"39 (3–4): 299–306. He then played his first antagonist role as an infatuated lover-turned-murderer in Parwana (1971). He also reached the 12,000 run mark when he was on 61. He became the first batsman to score 12,000, 13,000, 14,000 and 15,000 runs in Test cricket, having also been the third batsman and the first Indian to pass 11,000 runs in that form of the game. Modi liberalised India's foreign direct investment policies, allowing more foreign investment in several industries, including in defence and the railways. He was engaged at age 13 to Jashodaben, marrying her when he was 18. In 1965, the company went public. Tragedy greeted them on their return to Germany in April, when a distraught Kirchherr met them at the airport with news of Sutcliffe's death the previous day from what was later determined as a brain haemorrhage.Epstein began negotiations with record labels for a recording contract. New music released by the band while under this contract was to be issued through Universal's Polydor label. 3 in the UK and No."
77,"23 (1): 13–19. In 2013, he and his family donated ₹2.5 million ($42,664) to a charitable trust, Plan India, that works for the betterment of young girls in India. The crowd's reaction to Tendulkar's dismissal was to throw objects at Akhtar, and the players were taken off the field. In their tour opener, Australia faced the then Ranji Champions Mumbai at the Brabourne Stadium in a three-day first class match. Modi framed the criticism of his government for human rights violations as an attack upon Gujarati pride, a strategy which led to the BJP winning two-thirds of the seats in the state assembly. The Supreme Court ordered the land to be handed over to a trust to build the Hindu temple. Back in New York the following day, the Beatles met with another strong reception during two shows at Carnegie Hall. The band, now a five-piece, left four days later, contracted to club owner Bruno Koschmider for what would be a 3​1⁄2-month residency. Watts released two jazz albums; Wood recorded his fifth solo album, the first in 11 years, called Slide On This; Wyman released his fourth solo album; Richards released his second solo album in late 1992, Main Offender and did a small tour including big concerts in Spain and Argentina. He also recalled, ""when you think of some dopey, spotty seventeen year old from Dartford, who wants to be Muddy Waters—and there were a lot of us—in a way, very pathetic, but in another way, [it was] very ... heartwarming"".Despite the Rolling Stones' predilection for blues and R&B numbers on their early live set lists, the first original compositions by the band reflected a more wide-ranging interest."
78,"Minneapolis: University of Minnesota Press, 2007 ISBN 978-0-8166-4942-6
Bhawana Somaaya (1 February 1999). Bachchan has denied the allegation. == Fan following ==

Tendulkar's consistent performances earned him a fan following across the globe, including amongst Australian crowds, where Tendulkar has consistently scored centuries. 2010 – Outstanding Achievement in Sport and the Peoples Choice Award at The Asian Awards in London. In the elections, the BJP won 127 seats in the 182-member assembly. On 29 September 2016, the Indian Army stated that it had conducted a surgical strike on terror launchpads in Azad Kashmir. The first time I had acid, it just opened up something in my head that was inside of me, and I realized a lot of things. According to Peter Lavezzoli, after the ""more popular than Jesus"" controversy in 1966, the Beatles felt considerable pressure to say the right things and ""began a concerted effort to spread a message of wisdom and higher consciousness"".Other commentators such as Mikal Gilmore and Todd Leopold have traced the inception of their socio-cultural impact earlier, interpreting even the Beatlemania period, particularly on their first visit to the United States, as a key moment in the development of generational awareness. Because Oldham was only nineteen and had not reached the age of majority—he was also younger than anyone in the band—he could not obtain an agent's licence or sign any contracts without his mother co-signing. Jagger said that Jones was ""not psychologically suited to this way of life""."
79,"44 (3): 88–98. He later attended Kirori Mal College, University of Delhi. Tendulkar created another record on 8 November 2011 when he became the first cricketer to score 15,000 runs in Test cricket, during the opening Test match against the West Indies at the Feroz Shah Kotla Stadium in New Delhi. His batting is based on complete balance and poise while limiting unnecessary movements and flourishes. In 2013, Gujarat ranked 13th in the country with respect to rates of poverty and 21st in education. The move led to severe cash shortages, a steep decline in the Indian stock indices BSE SENSEX and NIFTY 50, and sparked widespread protests throughout the country. McCartney has said, ""We'd had our cute period, and now it was time to expand."" On 8 September, while Starr was in hospital, the other band members met to discuss recording a new album. Jones and Taylor are both featured on the album.Just after the US tour ended, the band performed at the Altamont Free Concert at the Altamont Speedway, about fifty miles (80 km) east of San Francisco. Reviewers took note and credited the album's ""traditionalist"" sounds to the Rolling Stones' new producer Don Was."
80,"In addition to acting, Bachchan has worked as a playback singer, film producer and television presenter. In October 2014, Bachchan was summoned by a court in Los Angeles for ""allegedly instigating violence against the Sikh community"". Tendulkar now considers the 13 coins he won then as some of his most prized possessions. Tendulkar convinced Azharuddin to bat and Azharuddin subsequently unleashed 24 runs off one over. The magnitude of the BJP's victory led many commentators to say that the election constituted a political realignment away from progressive parties and towards the right-wing. Modi also made several overtures to the United States, including multiple visits to that country. According to Gilmore:

Elvis Presley had shown us how rebellion could be fashioned into eye-opening style; the Beatles were showing us how style could have the impact of cultural revelation – or at least how a pop vision might be forged into an unimpeachable consensus. The band's concert at San Francisco's Candlestick Park on 29 August was their last commercial concert. In October 2011, the Stones released The Rolling Stones: Some Girls Live In Texas '78 to cinemas. 3 in the US."
